Rank,Element,Symbol,Raw,ppm,Percentage,Category Key,Category,Category Percentage,Source
1,oxygen,O,"461,000 (46.1%)","461,000",4.61E+01,O,O,4.61E+01,"Abundance of elements in the earth’s crust and in the sea, CRC Handbook of Chemistry and Physics,97th edition (2016–2017), p. 14-17"
2,silicon,Si,"282,000 (28.2%)","282,000",2.82E+01,Si,Si,2.82E+01,
3,aluminium,Al,"82,300 (8.23%)","82,300",8.23E+00,Industrial Metals,Industrial Metals,1.69E+01,
4,iron,Fe,"56,300 (5.63%)","56,300",5.63E+00,Industrial Metals,Alkaline Metals,6.32E+00,
5,calcium,Ca,"41,500 (4.15%)","41,500",4.15E+00,Alkaline Metals,Nonmetals,2.74E+00,
6,sodium,Na,"23,600 (2.36%)","23,600",2.36E+00,Nonmetals,Other Metals,4.77E-02,
7,magnesium,Mg,"23,300 (2.33%)","23,300",2.33E+00,Industrial Metals,Lanthanoids,1.87E-02,
8,potassium,K,"20,900 (2.09%)","20,900",2.09E+00,Alkaline Metals,Metaliods,1.35E-03,
9,titanium,Ti,"5,650 (0.565%)","5,650",5.65E-01,Industrial Metals,Actinoids,1.23E-03,
10,hydrogen,H,"1,400 (0.14%)","1,400",1.40E-01,Nonmetals,Nobel Gases,3.51E-04,
11,phosphorus,P,"1,050 (0.105%)","1,050",1.05E-01,Nonmetals,Precious Metals,9.90E-06,
12,manganese,Mn,950 (0.095%),950,9.50E-02,Industrial Metals,,,
13,fluorine,F,585 (0.0585%),585,5.85E-02,Nonmetals,,,
14,barium,Ba,425 (0.0425%),425,4.25E-02,Alkaline Metals,,,
15,strontium,Sr,370 (0.037%),370,3.70E-02,Alkaline Metals,,,
16,sulfur,S,350 (0.035%),350,3.50E-02,Nonmetals,,,
17,carbon,C,200 (0.02%),200,2.00E-02,Nonmetals,,,
18,zirconium,Zr,165 (0.0165%),165,1.65E-02,Other Metals,,,
19,chlorine,Cl,145 (0.0145%),145,1.45E-02,Nonmetals,,,
20,vanadium,V,120 (0.012%),120,1.20E-02,Other Metals,,,
21,chromium,Cr,102 (0.0102%),102,1.02E-02,Industrial Metals,,,
22,rubidium,Rb,90 (0.009%),90,9.00E-03,Other Metals,,,
23,nickel,Ni,84 (0.0084%),84,8.40E-03,Industrial Metals,,,
24,zinc,Zn,70 (0.007%),70,7.00E-03,Industrial Metals,,,
