DEPOSIT_NA,CRITICAL_M,DEPOSIT_TY,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL,Symbol,Abundace,Symbol Key CM,Symbol Key S,Abundance Key S,Abunance Key P
Coeur d'Alene district,Antimony,Simple Sb,47.53407,-116.2485,United States of America,Idaho,Sb,0.00002,Antimony,Sb,O,4.61E+01
Krasna Gora,Antimony,Au-Sb,49.58199,14.33547,Czech Republic,,Sb,0.00002,Barite,BaSO4,Si,2.82E+01
Hillgrove,Antimony,Au-Sb,-30.57138,151.90687,Australia,,Sb,0.00002,Beryllium,Be,Al,8.23E+00
Blue Spec,Antimony,Au-Sb,-21.82987,120.24929,Australia,,Sb,0.00002,Beryllium; Lithium; Niobium and Tantalum; Tin,"Be, Li, Nb, Ta",Fe,5.63E+00
Becker Cochrane,Antimony,Simple Sb,60.18333,-135.21666,Canada,,Sb,0.00002,Beryllium; Titanium,"Be, Ti",Ca,4.15E+00
La Cruz Mine Zone,Antimony,Disseminated Sb,18.25068,-99.66703,Mexico,,Sb,0.00002,Beryllium; Lithium,"Be, Li",Na,2.36E+00
San Jose mines,Antimony,Simple Sb,23.55,-100.95,Mexico,,Sb,0.00002,Beryllium; Gallium,"Be, Ga",Mg,2.33E+00
Brioude-Massiac,Antimony,Simple Sb,45.20611,3.1875,France,,Sb,0.00002,Cobalt,Co,K,2.09E+00
La Lucette,Antimony,Au-Sb,48.4166,0.95,France,,Sb,0.00002,Cobalt; Platinum-Group Elements,"Co, PGE",Ti,5.65E-01
Sentachan,Antimony,Au-Sb,66.46167,136.92511,Russia,,Sb,0.00002,Cobalt; Gallium,"Co, Ga",H,1.40E-01
Lake George,Antimony,Disseminated Sb,45.86663,-67.03259,Canada,,Sb,0.00002,Cobalt; Manganese,"Co, Mn",P,1.05E-01
Beaver Brook (Hunan),Antimony,Simple Sb,48.701412,-55.233885,Canada,,Sb,0.00002,Fluorite,CaF2,Mn,9.50E-02
Olympiada,Antimony,Au-Sb,59.869881,92.918007,Russia,,Sb,0.00002,Fluorite; Beryllium,"CaF2, Be",F,5.85E-02
Sarylakh,Antimony,Au-Sb,64.34892,142.5291,Russia,,Sb,0.00002,Fluorite; Gallium,"CaF2, Ga",Ba,4.25E-02
Cutaway basin,Barite,Bedded-sedimentary,68.15,-157.454,United States of America,Alaska,BaSO4,null,Fluorite; Beryllium; Tin,"CaF2, Be, Sn",Sr,3.70E-02
Nevada,Barite,Bedded-sedimentary,40.58,-116.696,United States of America,Nevada,BaSO4,null,Fluorite; Barite,"CaF2, BaSO4",S,3.50E-02
Flagstaff Mountain,Barite,Bedded-sedimentary,48.908,-117.868,United States of America,Washington,BaSO4,null,Gallium,Ga,C,2.00E-02
Ouachita Mountains,Barite,Bedded-sedimentary,34.471,-92.816,United States of America,Arkansas,BaSO4,null,Gallium; Germanium; Indium,"Ga, Ge, In",Zr,1.65E-02
Selwyn Basin,Barite,Bedded-sedimentary,63,-130,Canada,,BaSO4,null,Gallium; Indium; Germanium,"Ga, Ge, In",Cl,1.45E-02
Cuddapah,Barite,Bedded-sedimentary,14.02,79.32,India,,BaSO4,null,Gallium; Barite,"Ga, BaSO2",V,1.20E-02
Jiangnan,Barite,Bedded-sedimentary,27.15,109.167,China,,BaSO4,null,Gallium; Germanium,"Ga, Ge",Cr,1.02E-02
Qinling,Barite,Bedded-sedimentary,30,110,China,,BaSO4,null,Graphite,C,Rb,9.00E-03
Sardinia,Barite,Bedded-sedimentary,40.229,9.03,Italy,Sardinia,BaSO4,null,Lithium,Li,Ni,8.40E-03
Aggeneys-Gamsberg,Barite,Bedded-sedimentary,-29.25,18.79,South Africa,,BaSO4,null,Lithium; Beryllium,"Be, Li",Zn,7.00E-03
Lasbela-Khuzdar,Barite,Bedded-sedimentary,27.059,66.665,Pakistan,,BaSO4,null,Lithium; Niobium and Tantalum,"Li, Nb, Ta",Cu,6.00E-03
Chiganak,Barite,Bedded-sedimentary,44.284,72.946,Kazakhstan,,BaSO4,null,Manganese,Mn,Ce,6.65E-03
Neuquen-Mendoza,Barite,Bedded-sedimentary,-37,-70,Argentina,,BaSO4,null,Niobium and Tantalum,"Nb, Ta",Nd,4.15E-03
La Helvecia,Barite,Bedded-sedimentary,-29.9,-66.999,Argentina,,BaSO4,null,Niobium and Tantalum; Beryllium; Lithium,"Be, Li, Nb, Ta",La,3.90E-03
Camamu,Barite,Bedded-sedimentary,-13.924,-39.008,Brazil,,BaSO4,null,Niobium and Tantalum; Barite; Rare-Earth Elements,"Nb, Ta, BaSO4, REE",Y,3.30E-03
Sonora,Barite,Bedded-sedimentary,28.833,-110.133,Mexico,,BaSO4,null,Niobium and Tantalum; Rare-Earth Elements; Beryllium,"Nb, Ta, Be, REE",N,1.90E-03
Northern Thailand,Barite,Bedded-sedimentary,18.605,99.009,Thailand,,BaSO4,null,Niobium and Tantalum; Lithium,"Nb, Ta, Li",Co,2.50E-03
Gertrudas-Jugua,Barite,Bedded-sedimentary,22.485,-83.779,Cuba,,BaSO4,null,Niobium and Tantalum; Beryllium,"Be, Nb, Ta",Sc,2.20E-03
Barite Hill,Barite,Bedded-volcanic,33.875,-82.28,United States of America,South Carolina,BaSO4,null,Niobium and Tantalum; Rare-Earth Elements,"Nb, Ta, REE",Li,2.00E-03
Zhayrem district,Barite,Bedded-volcanic,48.27,70.242,Kazakhstan,,BaSO4,null,Niobium and Tantalum; Titanium,"Nb, Ta, Ti",Nb,2.00E-03
Kuroko,Barite,Bedded-volcanic,41.738,140.976,Japan,,BaSO4,null,Platinum-Group Elements,PGE,Ga,1.90E-03
Madneuli,Barite,Bedded-volcanic,44.491667,41.361667,Russia,,BaSO4,null,Platinum-Group Elements; Tellurium,"PGE, Te",Pb,1.40E-03
Dorreh Kashan,Barite,Bedded-volcanic,32.842,51.767,Iran,,BaSO4,null,Rare-Earth Elements,REE,B,1.00E-03
Jebel Irhoud,Barite,"Vein, cavity-fill, metasomatic",31.576,-9.022,Morocco,,BaSO4,null,Rare-Earth Elements; Fluorite,"REE, CaF2",Th,9.60E-04
Zelmou,Barite,"Vein, cavity-fill, metasomatic",32.2,-2.8,Morocco,,BaSO4,null,Rare-Earth Elements; Beryllium; Niobium and Tantalum,"Nb, Ta, Be, REE",Pr,9.20E-04
Flinders Range,Barite,"Vein, cavity-fill, metasomatic",-31.344,138.692,Australia,,BaSO4,null,Rare-Earth Elements; Titanium,"REE, Ti",Sm,7.05E-04
Chaillac,Barite,"Vein, cavity-fill, metasomatic",46.435,1.297,France,,BaSO4,null,Rhenium,Re,Gd,6.20E-04
Nghe An,Barite,"Vein, cavity-fill, metasomatic",19.353,105.403,Vietnam,,BaSO4,null,Rhenium; Titanium; Tellurium,"Re, Ti, Te",Dy,5.20E-04
